cell_id,x,y,group,foldchange
Loc1,0.90820779,0.398645696,C,5
Loc2,0.201681931,0.187911816,A,1
Loc3,0.898389685,0.477728241,A,1
Loc4,0.944675269,0.544234023,A,1
Loc5,0.660797792,0.328157981,C,5
Loc6,0.629114044,0.999930594,C,5
Loc7,0.06178627,0.527781836,A,1
Loc8,0.205974575,0.133734508,B,3
Loc9,0.176556753,0.438540068,B,3
Loc10,0.687022847,0.62079394,C,5
Loc11,0.384103718,0.202912412,A,1
Loc12,0.76984142,0.134169773,C,5
Loc13,0.497699242,0.776833998,B,3
Loc14,0.717618508,0.635949849,C,5
Loc15,0.991906095,0.282136297,C,5
Loc16,0.380035179,0.191259456,A,1
Loc17,0.777445221,0.26553672,A,1
Loc18,0.934705231,0.530808793,A,1
Loc19,0.212142521,0.684860904,B,3
Loc20,0.651673766,0.383283394,C,5
Loc21,0.125555096,0.954987998,B,3
Loc22,0.267220669,0.118356581,B,3
Loc23,0.386114093,0.039100055,A,1
Loc24,0.013390333,0.504505033,A,1
Loc25,0.382387957,0.578482555,B,3
Loc26,0.869690846,0.839303908,B,3
Loc27,0.340348997,0.654444975,B,3
Loc28,0.482080115,0.94452834,B,3
Loc29,0.599565825,0.51165763,C,5
Loc30,0.493541307,0.084921059,A,1
Loc31,0.186217601,0.994770509,B,3
Loc32,0.827373319,0.40144412,C,5
Loc33,0.668466738,0.895646297,C,5
Loc34,0.794239861,0.876858412,C,5
Loc35,0.107943626,0.296484798,B,3
Loc36,0.723710946,0.13259191,C,5
Loc37,0.41127443,0.265910908,A,1
Loc38,0.820946294,0.005727543,C,5
Loc39,0.647060194,0.819601821,C,5
Loc40,0.782932762,0.174661679,A,1
Loc41,0.553036312,0.843080552,B,3
Loc42,0.52971958,0.166712167,A,1
Loc43,0.789356232,0.764019435,C,5
Loc44,0.023331202,0.518938087,A,1
Loc45,0.477230065,0.272685303,A,1
Loc46,0.732313739,0.343203136,C,5
Loc47,0.692731556,0.70507534,C,5
Loc48,0.477619622,0.591535301,B,3
Loc49,0.861209477,0.469379038,A,1
Loc50,0.438097107,0.336376606,A,1
Loc51,0.244797277,0.967837429,B,3
Loc52,0.070679047,0.645841884,B,3
Loc53,0.09946616,0.196301169,B,3
Loc54,0.316271707,0.357180385,B,3
Loc55,0.518634263,0.513018082,B,3
Loc56,0.662005076,0.882996741,C,5
Loc57,0.406830187,0.152667565,A,1
Loc58,0.912875924,0.230461597,C,5
Loc59,0.293603373,0.162988578,A,1
Loc60,0.459065726,0.614346859,B,3
Loc61,0.332394674,0.501636444,B,3
Loc62,0.650870467,0.188118888,A,1
Loc63,0.258016781,0.407714853,B,3
Loc64,0.478545248,0.582388047,B,3
Loc65,0.766310671,0.308929065,C,5
Loc66,0.084246914,0.48096564,A,1
Loc67,0.87532133,0.939394792,C,5
Loc68,0.339072938,0.046040548,B,3
Loc69,0.83944035,0.53486173,A,1
Loc70,0.346683489,0.442660782,B,3
Loc71,0.333774931,0.90636547,B,3
Loc72,0.476351245,0.881042382,B,3
Loc73,0.892198336,0.163241116,A,1
Loc74,0.864339471,0.752190766,B,3
Loc75,0.389989543,0.402987202,B,3
Loc76,0.777320699,0.556952693,C,5
Loc77,0.960617997,0.080169282,A,1
Loc78,0.434659485,0.116568592,A,1
Loc79,0.712514679,0.925192561,C,5
Loc80,0.399994369,0.878844241,B,3
Loc81,0.325352152,0.163207627,A,1
Loc82,0.757087148,0.531563901,C,5
Loc83,0.202692255,0.929792168,B,3
Loc84,0.711121222,0.325715994,C,5
Loc85,0.121691921,0.160794631,A,1
Loc86,0.245488514,0.949707918,B,3
Loc87,0.143304379,0.462357049,A,1
Loc88,0.239629415,0.220770887,A,1
Loc89,0.058934377,0.002019233,A,1
Loc90,0.642288259,0.619192603,C,5
Loc91,0.876269213,0.402505922,C,5
Loc92,0.778914677,0.900032611,C,5
Loc93,0.797308826,0.505881984,C,5
Loc94,0.455274454,0.726487081,B,3
Loc95,0.410084082,0.027486615,A,1
Loc96,0.810870243,0.379413213,C,5
Loc97,0.60493329,0.386744662,A,1
Loc98,0.654723928,0.337820725,C,5
Loc99,0.353197272,0.364431851,A,1
Loc100,0.270260146,0.63875597,B,3
Loc101,0.992684061,0.032914327,A,1
Loc102,0.633493264,0.696192588,C,5
Loc103,0.213208135,0.815564175,B,3
Loc104,0.129372348,0.507422853,A,1
Loc105,0.478118034,0.112592626,A,1
Loc106,0.92407447,0.906323301,C,5
Loc107,0.598760967,0.413338953,A,1
Loc108,0.976170695,0.473755788,A,1
Loc109,0.731792512,0.71371418,C,5
Loc110,0.356726912,0.241871211,A,1
Loc111,0.431473691,0.299640628,A,1
Loc112,0.148211561,0.704478821,B,3
Loc113,0.013077575,0.771674948,C,5
Loc114,0.715566066,0.013840341,C,5
Loc115,0.103184236,0.551313953,A,1
Loc116,0.446284349,0.65246119,B,3
Loc117,0.640101045,0.931660708,C,5
Loc118,0.99183862,0.690391705,C,5
Loc119,0.495593578,0.253767139,A,1
Loc120,0.484349524,0.41103837,A,1
Loc121,0.173442335,0.122891113,A,1
Loc122,0.754820945,0.131966556,C,5
Loc123,0.453895489,0.640118008,B,3
Loc124,0.511169784,0.346423432,A,1
Loc125,0.207545113,0.422756605,B,3
Loc126,0.228658143,0.93940888,B,3
Loc127,0.595711996,0.383889231,A,1
Loc128,0.574872198,0.228585131,A,1
Loc129,0.07706438,0.690278686,B,3
Loc130,0.03554058,0.009857917,A,1
Loc131,0.642795492,0.686130894,C,5
Loc132,0.9286152,0.791674596,B,3
Loc133,0.598092422,0.507493489,C,5
Loc134,0.560900748,0.308076249,A,1
Loc135,0.526027724,0.737212277,B,3
Loc136,0.985095224,0.304715243,C,5
Loc137,0.507641822,0.774708702,B,3
Loc138,0.682788079,0.112113638,C,5
Loc139,0.601541218,0.7977437,C,5
Loc140,0.238868678,0.491001167,B,3
Loc141,0.258165927,0.832918175,B,3
Loc142,0.729309623,0.758423155,C,5
Loc143,0.452570831,0.902146561,B,3
Loc144,0.175126768,0.278440013,B,3
Loc145,0.74669827,0.44569285,C,5
Loc146,0.10498764,0.272015736,B,3
Loc147,0.864544949,0.329918326,C,5
Loc148,0.614644972,0.863600654,C,5
Loc149,0.557159539,0.109857953,A,1
Loc150,0.328777319,0.4022569,B,3
Loc151,0.453131445,0.406075094,A,1
Loc152,0.500440973,0.436479255,A,1
Loc153,0.180866361,0.177000096,A,1
Loc154,0.529630603,0.2657302,A,1
Loc155,0.075275746,0.659550013,B,3
Loc156,0.277755933,0.816055505,B,3
Loc157,0.212699519,0.421184345,B,3
Loc158,0.284790481,0.160064304,A,1
Loc159,0.895094103,0.288610127,C,5
Loc160,0.446235323,0.802129008,B,3
Loc161,0.77998489,0.164245682,A,1
Loc162,0.880619035,0.789792735,B,3
Loc163,0.41312421,0.52421497,B,3
Loc164,0.063808481,0.320035003,B,3
Loc165,0.335487492,0.275177088,A,1
Loc166,0.723725947,0.801898038,C,5
Loc167,0.337615333,0.104024431,B,3
Loc168,0.630414122,0.838122267,C,5
Loc169,0.840614554,0.079262874,A,1
Loc170,0.856131665,0.717564067,B,3
Loc171,0.391359281,0.864617827,B,3
Loc172,0.380493886,0.978558208,B,3
Loc173,0.895445426,0.249126208,C,5
Loc174,0.644315763,0.02486069,C,5
Loc175,0.741078649,0.222978232,A,1
Loc176,0.605303447,0.1220255,A,1
Loc177,0.903081611,0.385239425,C,5
Loc178,0.293730155,0.084330474,B,3
Loc179,0.19126011,0.2825819,B,3
Loc180,0.886450943,0.566582459,A,1
Loc181,0.503339486,0.328542302,A,1
Loc182,0.877057543,0.943474683,C,5
Loc183,0.189193622,0.377303514,B,3
Loc184,0.758103052,0.953315612,C,5
Loc185,0.724498893,0.273252868,C,5
Loc186,0.943724818,0.687330156,C,5
Loc187,0.547646587,0.136991804,A,1
Loc188,0.711743868,0.810210772,C,5
Loc189,0.3889051,0.762604692,B,3
Loc190,0.100873126,0.442404834,A,1
Loc191,0.927302089,0.456675695,A,1
Loc192,0.2832325,0.680455089,B,3
Loc193,0.590573159,0.074397909,A,1
Loc194,0.110360605,0.646629075,B,3
Loc195,0.840507032,0.789914112,B,3
Loc196,0.317963684,0.223316507,A,1
Loc197,0.782851337,0.04094399,C,5
Loc198,0.267508207,0.384648363,B,3
Loc199,0.218645285,0.344092154,B,3
Loc200,0.516796836,0.446368692,A,1
Loc201,0.268950592,0.386833169,B,3
Loc202,0.181168327,0.918317915,B,3
Loc203,0.518576137,0.174017543,A,1
Loc204,0.562782936,0.149870562,A,1
Loc205,0.129156854,0.613199229,B,3
Loc206,0.256367604,0.017243332,B,3
Loc207,0.717935276,0.066110484,C,5
Loc208,0.961409936,0.778839041,B,3
Loc209,0.100140847,0.935656127,B,3
Loc210,0.76322269,0.20720414,A,1
Loc211,0.947966355,0.643343157,C,5
Loc212,0.818634688,0.331379575,C,5
Loc213,0.308292331,0.955421591,B,3
Loc214,0.64957946,0.817189157,C,5
Loc215,0.953355451,0.740276143,B,3
Loc216,0.95373265,0.222705977,C,5
Loc217,0.339979203,0.045724717,B,3
Loc218,0.26247411,0.366526579,B,3
Loc219,0.165453933,0.741393025,C,5
Loc220,0.322168057,0.93350625,B,3
Loc221,0.510125207,0.67320995,B,3
Loc222,0.923968471,0.701357107,C,5
Loc223,0.510959698,0.847625408,B,3
Loc224,0.257621261,0.706156655,B,3
Loc225,0.046460887,0.85880776,C,5
Loc226,0.417856258,0.445644491,B,3
Loc227,0.854001502,0.676634992,C,5
Loc228,0.347230678,0.127824783,B,3
Loc229,0.131442321,0.736171535,C,5
Loc230,0.374486865,0.067245148,B,3
Loc231,0.631420228,0.28080007,A,1
Loc232,0.390078934,0.411617684,B,3
Loc233,0.689627849,0.943424997,C,5
Loc234,0.689413412,0.977342533,C,5
Loc235,0.554900623,0.038866585,A,1
Loc236,0.429624408,0.587727777,B,3
Loc237,0.452720063,0.030011677,A,1
Loc238,0.306443259,0.565281208,B,3
Loc239,0.578353944,0.098227231,A,1
Loc240,0.910370304,0.630290789,C,5
Loc241,0.142604082,0.818501835,C,5
Loc242,0.415047625,0.350041663,A,1
Loc243,0.210925751,0.133983675,B,3
Loc244,0.428750371,0.080943378,A,1
Loc245,0.132689975,0.350443314,B,3
Loc246,0.460096446,0.996271785,B,3
Loc247,0.942957059,0.532968811,A,1
Loc248,0.761973862,0.33589738,C,5
Loc249,0.932909829,0.314234643,C,5
Loc250,0.470678498,0.38262206,A,1
Loc251,0.603588068,0.018546408,A,1
Loc252,0.484989681,0.036539117,A,1
Loc253,0.108806317,0.878513294,C,5
Loc254,0.247726833,0.402064024,B,3
Loc255,0.498514531,0.469381074,B,3
Loc256,0.372866708,0.40233651,B,3
Loc257,0.93469137,0.702090102,C,5
Loc258,0.523986078,0.399164465,A,1
Loc259,0.317144672,0.501958323,B,3
Loc260,0.277966029,0.036973751,B,3
Loc261,0.787540508,0.297975735,C,5
Loc262,0.702462513,0.962841982,C,5
Loc263,0.165027639,0.935096905,B,3
Loc264,0.064457539,0.961099177,B,3
Loc265,0.754705622,0.792595364,C,5
Loc266,0.620410033,0.754777193,C,5
Loc267,0.169576767,0.06596663,A,1
Loc268,0.062214052,0.135504779,A,1
Loc269,0.109029269,0.123599376,A,1
Loc270,0.381716352,0.762543861,B,3
Loc271,0.169310915,0.903465716,B,3
Loc272,0.298652542,0.40265909,B,3
Loc273,0.192209535,0.182563008,A,1
Loc274,0.257170021,0.374565219,B,3
Loc275,0.181231823,0.506208677,A,1
Loc276,0.47731371,0.913502679,B,3
Loc277,0.770737043,0.076645181,C,5
Loc278,0.027787122,0.109745524,A,1
Loc279,0.527310777,0.754267222,B,3
