"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93"
"signal1",2,1,1,1,1,1,4,6,1,1,2,2,1,1,2,7,2,4,2,1,7,5,3,0,1,2,3,4,4,7,0,2,2,1,1,0,0,5,2,0,3,4,1,3,3,2,2,4,2,4,4,1,2,1,0,0,10,3,0,4,2,1,4,4,3,2,7,2,2,1,5,0,0,0,4,1,0,6,0,2,0,8,1,5,2,2,3,6,5,3,0,2,0
"signal2",2,1,1,0,2,2,2,4,4,3,21,2,2,0,3,14,0,0,3,1,2,0,1,10,15,4,0,2,10,0,0,2,1,3,3,3,11,2,0,3,6,13,2,0,4,1,0,8,4,4,1,3,7,2,2,3,12,2,4,5,4,2,6,4,0,12,1,5,0,2,4,2,0,7,0,6,1,2,3,4,0,1,3,1,1,5,6,0,2,8,4,2,2
"signal3",1,2,1,3,9,1,10,2,0,6,0,1,9,2,0,11,1,1,9,3,7,4,5,6,18,0,0,17,3,15,3,7,1,2,0,3,5,1,1,1,17,1,1,13,1,0,2,2,0,7,6,2,6,1,11,1,6,0,0,2,0,1,2,8,1,1,0,5,1,1,10,3,2,0,19,2,2,7,0,9,0,2,0,2,4,3,1,1,6,2,2,3,0
"signal4",1,2,0,1,5,1,2,9,2,3,2,5,5,2,1,15,1,1,6,2,2,4,4,4,10,3,5,4,8,1,3,0,0,3,2,2,0,0,0,0,2,3,0,3,3,1,2,6,1,2,1,10,4,14,2,0,2,2,0,0,2,2,6,3,1,3,0,6,3,0,8,4,5,4,5,0,0,0,3,3,3,7,2,0,4,5,7,0,4,4,2,2,0
"signal5",3,1,2,0,3,3,15,3,0,0,6,2,6,1,3,2,2,1,17,0,6,0,4,7,0,0,3,0,4,1,0,1,2,2,0,2,5,0,1,3,5,2,0,4,6,7,3,10,1,12,5,14,12,2,0,3,3,4,5,3,4,2,8,4,0,17,3,0,1,2,2,1,3,4,1,2,0,11,6,4,2,4,0,3,6,3,7,1,0,0,0,0,0
"signal6",0,4,0,1,1,0,12,2,3,6,13,2,4,1,7,2,2,4,5,2,2,2,0,7,14,1,1,10,5,17,1,1,3,3,2,1,6,7,0,0,4,1,1,4,2,0,3,3,0,4,8,5,8,6,8,1,3,2,0,12,0,1,6,15,1,2,0,4,2,3,0,6,2,2,2,2,6,11,0,0,5,1,3,6,6,12,8,0,14,3,5,3,4
"signal7",2,5,1,1,1,1,11,8,5,2,3,3,1,1,0,2,0,2,0,3,19,5,3,25,10,0,1,5,3,5,6,2,1,8,1,3,4,6,0,1,6,27,1,7,23,0,0,3,0,6,12,0,3,0,6,1,9,1,1,2,1,0,1,1,2,6,0,3,2,2,14,8,1,3,3,4,2,1,4,7,3,1,2,3,12,2,2,0,3,4,5,1,3
"signal8",4,5,4,2,4,0,2,1,8,1,8,1,12,9,0,5,0,1,9,6,10,8,3,3,2,2,6,0,3,5,5,0,1,2,0,0,6,0,1,1,3,3,2,8,14,0,3,4,6,7,12,11,3,9,23,0,5,6,0,13,1,1,4,16,6,9,5,1,4,1,7,8,0,0,6,0,3,3,1,15,0,1,1,3,4,8,5,0,10,3,3,1,2
"signal9",0,3,0,1,0,0,18,1,1,2,7,2,3,2,1,17,7,2,1,1,10,4,1,1,0,0,6,9,9,4,7,2,1,5,0,10,5,1,2,3,8,0,0,0,13,2,5,10,6,38,25,11,4,3,5,0,7,4,0,4,2,2,8,12,4,0,1,5,3,0,1,12,4,0,3,1,0,10,3,0,3,0,0,3,8,16,11,7,1,1,3,0,0
"signal10",1,5,2,3,0,4,12,9,1,1,5,0,7,0,1,3,2,2,11,0,3,18,0,6,2,0,8,3,10,8,1,2,1,0,2,3,7,3,3,0,8,3,1,10,6,1,4,4,6,1,6,7,15,16,3,0,5,0,1,3,2,4,0,4,0,9,6,5,3,2,3,3,0,1,0,2,1,6,0,2,2,2,0,4,5,6,13,1,4,0,1,0,7
"signal11",2,1,3,1,3,4,13,10,6,1,9,3,5,1,2,0,1,1,3,0,28,5,5,10,3,0,2,0,14,1,0,1,7,0,1,1,4,1,4,2,3,1,1,2,18,0,0,8,1,2,1,2,5,5,7,1,3,0,3,3,1,4,24,6,1,12,2,9,0,0,1,3,7,1,4,2,0,1,1,1,1,1,2,1,4,5,2,1,0,3,2,1,3
