"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93"
"signal1",2,2,1,1,1,1,4,6,3,1,2,2,0,1,2,7,2,4,2,1,7,5,9,0,1,2,9,1,2,3,0,2,2,1,3,0,0,5,2,0,1,1,1,3,1,2,2,1,2,4,4,1,2,1,0,0,10,3,2,1,4,1,4,1,3,2,7,2,2,3,5,0,0,0,4,1,0,6,0,2,0,8,4,5,2,2,3,14,5,3,0,2,0
"signal2",2,2,1,0,2,2,2,4,12,5,21,2,1,0,3,14,0,0,3,1,2,0,2,10,15,4,1,0,3,0,4,2,1,3,7,3,11,2,0,3,3,6,2,0,1,1,0,3,4,4,1,3,7,2,1,3,12,2,7,1,10,2,6,2,0,12,1,5,0,6,4,0,0,7,0,6,1,2,3,4,2,1,8,1,1,5,6,1,2,8,4,2,2
"signal3",1,7,1,3,9,1,10,2,2,6,0,1,4,2,0,11,1,1,9,3,7,4,13,8,18,0,0,1,1,0,7,2,3,1,6,7,5,0,7,1,2,0,3,5,1,1,1,8,8,1,7,6,2,6,0,4,4,2,2,0,2,0,4,0,3,2,0,1,1,4,5,3,1,0,8,2,0,2,3,6,9,1,6,3,1,3,5,1,4,2,0,1,3
"signal4",2,7,3,0,1,2,2,5,10,1,2,4,2,3,1,15,2,1,1,0,8,1,15,3,3,1,9,2,3,0,15,5,0,5,5,0,0,0,0,2,0,0,0,4,2,2,1,1,0,10,4,14,2,3,1,2,1,0,5,2,6,1,2,1,0,6,3,1,3,4,12,4,2,0,0,0,3,3,3,15,7,0,4,1,7,2,4,11,7,3,0,3,1
"signal5",2,3,3,3,6,1,3,2,6,2,6,1,3,1,2,3,8,0,6,0,8,7,0,3,8,0,4,0,0,1,6,2,0,2,5,0,3,3,2,1,0,1,2,15,3,4,1,4,0,14,12,2,0,8,1,4,11,1,9,2,8,1,1,7,3,0,1,5,0,1,7,4,0,2,1,4,6,4,2,11,2,3,6,1,7,5,0,0,2,0,0,0,4
"signal6",0,5,1,0,6,1,9,14,13,2,4,1,7,0,2,11,0,0,7,0,1,7,14,3,4,4,5,5,1,0,3,3,2,1,6,7,2,0,1,0,1,1,1,2,3,1,0,1,2,15,15,3,8,8,0,1,5,1,4,1,2,0,4,2,3,0,1,6,2,2,5,6,4,0,0,5,1,7,6,6,12,3,0,4,2,0,23,7,7,0,1,1,5
"signal7",2,8,1,1,1,1,8,18,3,1,11,1,1,0,3,7,0,3,19,2,6,25,10,1,2,2,3,2,6,2,5,8,1,3,4,6,4,1,2,12,4,2,4,5,1,1,1,0,2,12,0,3,0,6,1,2,6,0,2,2,4,0,1,0,2,6,0,3,2,8,14,2,1,3,3,4,2,1,4,7,9,1,6,3,12,2,2,2,3,4,5,1,3
"signal8",4,13,5,2,4,0,2,1,20,2,8,1,4,3,1,21,2,1,1,1,9,17,4,8,10,3,2,2,6,0,3,1,5,0,2,2,2,0,1,0,1,1,0,3,2,2,4,0,5,10,10,5,23,3,1,6,22,1,4,6,1,4,12,0,4,4,3,8,0,1,6,0,3,0,3,4,2,11,1,4,4,3,5,0,10,9,2,12,4,1,2,3,1
"signal9",7,3,1,2,4,7,4,11,6,1,17,7,2,0,1,10,1,1,1,0,0,19,11,5,6,7,5,1,5,0,22,0,0,3,6,1,11,2,0,6,0,6,2,4,1,2,0,2,4,2,4,5,7,8,5,4,0,1,5,3,1,0,12,4,0,3,1,1,4,10,10,1,2,2,8,3,5,5,1,3,7,5,10,4,13,0,1,4,15,5,8,5,6
"signal10",4,1,1,2,0,2,1,5,3,2,4,2,5,1,0,2,0,2,2,0,19,7,10,8,2,2,5,0,2,3,7,3,3,0,8,1,2,5,1,1,4,2,6,1,2,2,6,2,1,5,3,4,11,1,2,4,1,0,9,6,5,3,8,1,1,0,1,0,2,2,6,0,1,2,8,3,2,10,0,9,16,1,6,2,1,6,9,16,12,3,0,0,3
