"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93"
"signal1",2,2,1,1,1,1,1,6,3,1,1,2,1,1,2,7,2,4,0,1,7,1,9,0,1,2,9,4,4,7,0,2,2,1,3,0,0,5,2,0,3,4,1,3,3,2,2,4,2,4,1,1,1,1,0,0,4,3,2,4,4,1,1,4,3,2,7,2,2,3,1,0,0,0,4,1,0,6,0,2,0,8,4,5,1,0,3,14,5,3,0,2,0
"signal2",2,2,1,0,2,2,1,4,12,5,8,2,6,0,3,14,0,0,1,1,2,0,2,10,15,4,1,2,10,0,4,2,1,3,7,3,4,2,0,3,6,13,2,0,4,1,0,8,4,4,0,3,3,2,2,3,5,2,7,5,10,2,3,4,0,12,1,5,0,6,1,2,0,7,0,6,1,2,3,4,2,1,8,1,0,1,6,1,2,8,4,2,2
"signal3",1,7,1,3,9,1,4,2,2,6,0,1,9,2,0,11,1,1,2,2,10,0,5,17,3,7,8,21,9,15,2,2,1,1,2,8,8,0,3,2,2,6,0,11,4,2,0,1,1,1,1,2,3,2,1,0,1,1,5,10,3,2,0,19,2,4,3,2,3,2,2,0,2,2,3,0,1,6,2,7,7,0,3,2,0,1,10,6,2,4,2,3,1
"signal4",5,5,2,1,6,13,0,6,2,2,4,2,10,3,5,4,3,0,3,0,0,3,7,8,8,1,4,1,3,15,12,4,1,1,2,0,3,2,3,5,4,3,1,8,1,0,2,7,1,3,1,3,0,6,10,0,3,1,12,9,5,0,0,0,3,3,3,15,2,3,2,5,3,0,4,4,2,5,0,11,5,4,3,0,0,5,17,21,2,0,1,1,2
"signal5",1,17,0,1,1,5,4,7,0,0,3,0,4,0,0,2,2,2,0,2,5,0,3,9,4,3,2,4,6,15,7,4,1,4,2,5,0,0,3,7,4,6,4,11,3,4,2,8,1,1,7,8,0,3,5,0,0,3,10,1,4,0,4,15,1,0,1,9,1,1,1,7,2,0,6,1,4,7,2,2,5,2,7,1,0,0,2,2,0,0,4,0,1
"signal6",1,1,6,1,3,6,6,5,4,1,7,0,6,4,2,4,0,0,0,2,14,1,4,10,5,5,3,1,3,8,6,1,3,7,2,0,1,0,1,1,2,2,3,3,1,1,2,15,6,4,2,15,0,3,5,1,2,1,2,0,4,2,3,0,1,6,2,2,2,15,3,7,0,5,3,3,6,6,4,8,10,1,3,0,0,0,7,10,10,2,1,3,1
"signal7",1,12,2,4,1,1,1,4,8,6,1,1,11,1,1,0,3,2,0,3,19,2,6,25,10,0,2,5,3,5,15,5,1,8,3,3,1,6,0,1,6,27,1,7,23,0,0,3,0,6,4,9,0,5,2,0,4,0,2,3,2,1,0,1,0,4,3,3,1,5,2,14,2,1,5,1,4,5,0,10,7,3,3,2,3,5,2,2,2,0,4,5,1
"signal8",3,9,5,4,2,4,0,2,1,8,1,3,4,4,3,4,9,0,1,0,4,4,17,4,8,3,3,2,4,16,2,2,1,5,0,1,2,0,0,1,2,3,1,3,3,2,2,14,0,7,1,14,1,5,7,2,2,2,11,9,13,0,4,4,3,8,0,1,2,2,3,3,1,4,6,4,2,5,3,4,8,1,3,4,3,3,4,5,0,3,0,1,0
"signal9",0,18,1,1,2,2,2,3,6,1,6,2,11,4,3,13,0,2,4,2,3,1,2,19,11,1,6,21,1,2,5,6,4,2,0,0,0,4,6,1,7,3,3,2,3,1,10,9,1,2,1,5,3,4,6,2,2,2,8,12,10,0,1,5,3,1,0,12,4,0,1,4,0,4,10,2,3,2,0,8,8,5,5,1,1,2,14,9,1,3,0,2,4
"signal10",8,4,0,3,4,4,3,4,5,2,0,2,1,1,1,8,2,2,5,1,18,0,6,2,2,8,3,10,8,2,3,1,0,2,10,2,1,1,2,10,6,4,4,4,16,1,2,7,6,4,1,5,0,4,11,0,2,4,1,2,9,6,1,9,2,3,1,0,1,0,2,2,2,0,2,2,2,2,4,5,6,6,5,2,0,1,2,16,23,2,0,3,3
"signal11",6,7,1,0,0,0,0,9,7,1,0,0,4,3,10,3,4,1,3,2,4,2,0,3,3,0,1,28,5,10,10,1,0,2,0,5,0,1,4,1,8,7,0,1,2,0,6,12,3,5,1,2,0,2,5,2,2,1,3,0,6,0,1,10,10,6,1,11,5,10,1,8,0,9,1,3,1,11,2,3,1,0,4,0,1,1,7,4,4,2,0,1,0
"signal12",3,6,1,3,5,2,2,8,3,3,5,1,2,3,2,6,5,0,7,0,5,2,2,5,3,1,6,0,11,1,14,5,4,2,8,2,2,0,0,1,17,1,4,2,1,0,2,10,2,9,2,12,7,10,0,1,0,4,2,9,0,6,4,4,6,4,1,6,3,2,4,4,2,5,13,1,1,3,1,3,5,0,9,2,2,1,3,9,1,1,7,4,1
"signal13",0,7,2,0,1,0,2,1,6,9,3,0,0,6,4,2,3,6,1,7,6,1,5,2,1,3,0,2,1,2,2,3,1,1,1,1,0,4,0,2,3,2,1,22,4,3,0,8,3,4,1,2,1,1,5,4,0,0,15,7,4,0,3,4,1,7,0,12,3,1,8,2,1,0,14,3,3,7,0,5,11,2,9,2,2,3,2,5,5,3,0,0,2
"signal14",1,6,2,2,7,2,3,21,8,6,1,0,4,1,1,6,2,0,6,2,9,4,3,4,16,1,4,6,10,9,2,0,2,3,6,0,1,3,2,11,16,5,0,9,4,4,5,24,1,1,4,1,1,2,3,0,3,6,7,2,8,1,1,3,1,5,0,4,1,7,2,5,3,0,8,2,5,11,6,9,13,0,5,4,0,1,6,5,1,3,5,1,0
"signal15",5,10,1,4,7,3,2,9,11,2,0,1,11,2,4,3,1,2,0,5,7,3,3,5,9,9,3,6,4,0,5,0,3,2,2,11,3,0,0,0,7,3,1,5,2,5,1,1,2,6,3,7,3,13,9,2,0,2,4,1,8,3,5,4,2,3,3,19,3,13,8,3,0,0,11,0,6,8,0,2,14,0,0,3,2,2,13,5,1,3,3,3,0
"signal16",1,5,2,0,3,1,1,3,8,4,5,3,12,2,3,9,0,1,3,0,2,1,1,15,1,1,1,4,7,2,3,0,0,4,9,2,1,2,3,0,5,5,1,10,5,7,0,5,2,3,3,11,5,0,4,6,3,4,4,2,0,0,3,1,3,11,0,1,2,3,1,15,2,0,13,1,4,5,3,9,1,1,6,0,3,1,3,7,11,0,3,1,0
"signal17",1,17,2,0,1,2,0,2,9,1,0,4,0,1,1,6,0,1,3,3,16,0,1,14,8,4,9,5,8,2,20,2,8,6,8,0,2,0,2,0,6,9,3,29,5,3,2,4,0,3,2,6,3,2,2,1,0,3,4,8,2,2,1,4,0,3,2,1,3,9,3,6,3,1,3,4,1,6,3,6,5,4,6,1,3,4,10,2,5,4,2,0,1
"signal18",1,13,4,3,0,1,5,9,11,1,1,2,1,4,3,5,3,0,1,0,11,3,8,3,16,2,0,9,17,7,16,2,1,3,3,6,1,3,1,4,9,2,0,0,10,2,0,1,2,9,5,8,1,10,9,2,0,0,8,0,8,0,1,4,0,2,2,7,4,5,2,4,0,0,3,0,0,2,2,13,2,1,3,0,7,5,5,0,7,1,5,0,4
"signal19",2,1,0,1,2,7,0,8,2,0,2,1,4,2,3,5,2,0,5,2,1,5,2,1,6,1,5,12,0,14,0,1,2,0,2,3,4,0,0,0,9,11,5,4,9,4,0,8,1,1,3,3,0,3,0,0,3,1,8,1,6,1,0,11,1,7,2,1,3,10,1,0,3,4,8,1,1,4,8,9,1,1,11,1,2,0,3,4,3,1,0,4,1
"signal20",6,0,0,1,3,1,1,2,4,1,1,3,8,0,1,5,0,1,3,2,3,1,4,13,1,0,7,0,15,3,1,4,2,0,15,2,2,1,4,1,6,11,0,0,2,0,0,0,0,6,1,20,0,1,2,0,0,1,2,8,4,3,1,7,2,12,0,3,3,4,0,5,3,2,5,1,1,6,0,2,5,2,14,1,0,0,2,10,6,3,4,0,3
"signal21",0,5,0,8,1,0,1,5,1,0,1,0,5,4,0,3,1,2,3,1,4,1,2,1,15,1,0,2,4,0,5,5,0,1,0,6,3,0,1,0,12,0,0,9,6,5,0,2,0,5,6,3,2,4,3,2,0,5,3,1,0,0,1,1,1,10,4,9,4,2,6,1,6,4,2,2,6,7,4,2,1,1,3,0,1,0,4,4,0,1,1,2,0
"signal22",2,5,5,2,2,7,2,11,4,1,6,2,4,0,5,6,5,0,0,3,3,0,25,5,16,3,6,17,3,1,2,4,5,1,4,3,7,1,0,1,4,2,2,6,4,0,1,11,1,2,3,7,0,2,4,4,2,0,3,8,1,0,4,9,1,3,1,8,0,10,1,9,1,0,9,3,4,13,3,4,7,2,6,0,3,0,4,4,20,5,0,1,2
"signal23",7,8,2,0,0,2,7,2,3,3,0,6,5,5,3,5,0,5,2,1,13,0,4,2,7,2,2,9,2,2,0,0,0,4,12,0,1,0,0,3,0,9,0,3,4,0,0,4,0,24,1,3,4,2,6,4,6,4,6,6,6,4,2,8,0,1,0,2,0,0,2,6,0,0,5,1,0,3,4,11,2,1,11,3,1,3,5,6,3,3,2,0,2
"signal24",4,6,2,0,1,2,0,9,12,0,0,3,7,5,2,7,0,1,2,3,3,0,6,1,2,0,2,5,5,12,4,1,2,1,8,1,0,4,1,2,0,1,2,7,24,0,1,5,3,2,3,3,4,1,4,4,1,5,12,1,5,4,5,5,1,10,3,4,0,13,1,13,2,0,3,3,4,3,7,6,9,3,9,1,0,5,0,6,11,0,0,2,1
"signal25",2,0,0,3,0,0,1,0,15,0,0,1,5,1,3,4,3,1,4,3,0,1,5,2,10,1,4,3,6,3,5,0,3,3,2,1,4,3,3,2,1,6,2,13,5,3,1,1,0,8,1,3,2,5,7,2,1,4,8,16,6,1,0,3,0,14,2,5,3,12,3,1,7,0,3,3,2,4,0,3,17,0,14,1,6,2,10,3,2,4,2,0,6
"signal26",0,9,3,0,0,1,2,0,18,4,0,0,8,2,1,3,2,3,5,0,0,7,7,2,0,0,20,0,7,12,7,0,1,1,12,1,3,1,1,7,4,11,3,2,6,4,4,6,2,3,2,4,0,4,8,6,5,6,3,6,6,1,2,5,2,3,2,4,1,13,0,4,0,6,9,0,2,1,3,6,5,4,3,2,2,0,2,6,2,5,4,2,3
"signal27",0,8,1,1,5,3,1,0,2,4,0,1,4,4,3,4,5,0,1,3,2,3,3,8,3,1,4,10,2,1,11,1,1,1,4,0,5,6,4,1,5,3,5,7,15,0,3,6,5,3,3,1,6,0,1,3,3,1,5,5,1,3,6,2,6,10,2,6,4,16,1,8,0,3,3,0,3,0,0,2,7,1,10,2,0,0,6,5,2,0,0,4,3
"signal28",3,3,4,1,1,3,4,7,4,1,2,2,2,1,0,14,2,3,0,0,10,4,11,8,3,0,5,5,0,7,1,0,2,6,6,2,1,7,3,7,1,10,1,4,7,2,1,4,1,11,2,2,0,5,3,1,3,3,4,7,2,2,0,27,1,2,0,0,0,4,1,6,9,2,4,0,0,1,1,22,1,1,3,2,1,2,1,5,2,0,1,1,3
"signal29",0,6,1,2,0,2,3,16,4,1,5,0,12,0,2,9,4,3,1,1,6,1,0,8,4,0,6,5,0,2,7,7,0,1,19,1,4,0,4,5,4,4,2,5,5,3,4,5,0,9,1,19,1,12,4,6,2,2,3,6,0,4,4,14,3,1,3,5,0,0,1,5,2,3,18,7,1,3,4,10,4,2,2,3,0,3,3,8,3,3,0,2,1
"signal30",2,2,3,1,4,0,0,6,17,1,0,6,0,5,2,7,0,2,0,1,7,3,1,7,3,0,5,8,9,7,6,2,7,2,4,3,1,0,1,0,3,11,1,7,9,1,2,5,1,1,3,11,5,5,2,0,0,1,5,10,0,4,2,1,0,1,3,3,3,6,3,13,4,0,3,0,2,22,3,7,13,1,2,1,1,0,8,1,6,4,6,3,1
"signal31",5,3,2,5,3,0,1,3,10,0,2,7,5,2,2,10,2,3,0,3,9,2,0,3,9,1,12,3,4,7,2,2,1,2,20,0,0,2,0,0,6,7,2,2,3,1,1,7,0,5,3,4,6,9,6,5,7,2,3,28,20,1,2,4,1,13,0,9,2,2,7,10,0,4,1,0,0,1,2,2,3,0,16,6,2,2,4,2,6,1,6,1,0
"signal32",1,4,2,11,0,3,2,8,7,1,2,0,1,0,3,6,2,4,4,0,1,4,2,1,19,0,10,4,3,11,2,0,3,4,1,4,0,10,0,2,12,19,0,5,3,2,4,2,6,1,6,11,3,8,3,2,6,3,2,9,5,1,2,6,5,3,1,5,2,14,2,8,1,0,12,1,1,3,3,0,15,1,2,0,0,5,9,2,3,1,3,6,1
"signal33",1,7,3,0,1,1,3,6,1,3,1,6,7,2,0,7,3,3,2,4,5,1,4,3,1,0,3,6,6,5,2,3,3,0,14,1,3,3,4,2,1,10,2,10,14,6,1,1,0,5,2,0,5,6,25,4,1,0,13,5,1,3,1,1,3,14,2,0,1,8,0,6,1,1,13,5,2,9,3,0,0,0,24,2,2,0,1,10,9,0,0,0,4
"signal34",3,13,3,0,3,1,7,4,3,0,6,0,9,1,1,2,4,7,2,11,6,1,13,1,4,4,1,1,10,3,9,2,5,0,8,1,0,0,1,2,4,9,0,6,4,2,1,0,3,7,1,16,4,12,7,1,3,2,9,7,11,1,3,13,3,1,4,10,3,1,0,1,1,0,10,1,0,7,1,3,13,0,2,0,2,4,15,5,5,1,2,1,0
"signal35",10,13,7,10,2,1,0,0,9,3,1,1,9,0,0,2,9,2,1,2,5,0,13,10,8,1,0,10,5,6,16,0,2,1,13,3,2,2,0,3,3,3,0,2,5,2,4,1,4,7,0,2,9,4,7,0,0,2,21,5,2,1,6,1,0,3,1,1,4,1,0,0,0,3,3,0,1,7,2,3,5,4,6,0,4,1,5,1,3,1,2,2,1
"signal36",5,2,3,5,0,2,1,9,2,4,0,3,3,3,0,5,0,2,0,1,9,0,1,6,2,1,3,8,1,9,0,3,2,3,16,3,3,1,3,0,4,4,3,0,8,2,2,15,1,18,4,4,5,5,13,1,0,2,7,3,2,0,0,4,2,4,4,1,2,0,2,4,2,0,12,1,3,4,0,5,8,1,3,0,0,0,10,12,12,2,0,1,3
"signal37",2,5,1,1,1,0,2,10,2,3,0,4,3,5,2,8,3,1,0,0,4,1,4,0,0,5,1,7,10,10,1,0,2,1,9,2,0,2,0,1,3,7,2,9,6,1,0,6,0,1,2,1,0,2,7,0,7,3,2,4,10,1,2,2,1,0,0,8,0,25,0,9,0,0,1,1,3,5,0,7,5,2,10,2,2,0,2,7,11,2,4,2,1
"signal38",8,4,4,3,0,0,2,7,18,12,1,8,0,0,4,6,2,5,2,0,7,3,11,11,6,0,6,2,6,3,9,1,5,4,2,1,2,3,1,6,4,1,3,5,13,1,1,3,2,13,2,6,1,0,8,2,2,2,7,12,8,4,2,8,1,7,1,1,3,16,0,5,5,1,0,2,1,5,2,0,2,0,7,1,0,1,2,4,3,8,1,4,2
"signal39",3,8,0,1,2,1,1,10,6,0,3,1,9,0,1,0,3,0,1,0,6,0,3,5,8,3,0,14,0,1,15,6,5,1,8,7,10,1,0,5,13,7,8,4,8,2,5,6,0,2,3,9,9,9,4,2,5,3,0,1,6,4,0,7,3,3,0,5,2,2,2,3,2,3,4,7,5,8,1,3,3,1,7,1,2,0,5,3,4,0,1,1,2
"signal40",0,4,0,9,2,4,0,2,9,1,4,0,4,4,0,7,1,1,1,4,9,3,4,0,14,1,10,3,4,17,2,4,1,0,7,0,7,3,1,2,4,7,0,6,5,2,1,2,3,3,3,6,0,5,0,0,0,2,6,7,5,1,3,13,0,5,0,3,0,2,1,4,2,2,0,1,1,5,0,5,23,5,5,2,2,5,11,5,8,1,2,2,2
"signal41",1,1,0,3,0,1,1,2,0,4,2,3,4,0,1,3,2,0,2,1,2,0,2,3,5,4,0,7,9,5,3,6,1,2,0,1,2,1,4,1,8,7,1,5,8,1,1,2,3,7,3,10,1,11,2,4,1,8,5,14,3,1,4,9,1,10,3,19,0,13,3,1,0,0,1,0,0,2,1,1,3,0,7,2,2,3,9,2,1,4,1,8,3
"signal42",1,3,1,2,4,1,0,2,4,2,1,0,5,9,1,1,4,11,4,2,3,0,0,5,4,2,1,0,8,4,3,0,1,7,3,0,0,0,3,4,4,10,1,0,5,1,3,10,1,2,4,1,3,7,10,1,0,2,5,1,11,4,3,8,1,1,4,3,2,2,0,6,0,5,12,0,2,12,0,9,0,0,0,2,1,0,8,17,4,0,0,1,0
