"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93","Loc94","Loc95","Loc96","Loc97","Loc98","Loc99","Loc100"
"signal1",5,2,1,1,1,1,4,6,3,3,1,6,0,1,2,2,2,11,2,4,7,1,9,0,1,2,9,1,4,3,0,6,6,4,3,2,0,11,2,0,1,4,1,0,1,8,2,4,2,4,1,1,1,1,0,1,4,6,0,1,4,4,4,4,10,3,2,0,2,3,5,0,0,1,4,5,0,3,1,2,0,21,2,2,1,2,11,2,6,3,8,17,2,1,2,5,6,0,6,0
"signal2",4,2,1,0,2,2,2,4,12,12,8,8,3,0,3,6,0,4,3,3,2,0,2,10,15,4,1,0,10,0,0,8,1,6,11,4,3,5,1,3,3,13,2,0,1,3,0,8,4,4,0,3,3,2,2,9,5,6,4,1,10,6,6,4,1,4,1,0,3,1,10,8,2,1,15,3,6,1,2,8,1,2,1,3,3,0,1,3,1,2,19,8,1,6,0,6,9,0,0,1
"signal3",10,2,0,6,0,1,9,6,0,11,1,3,2,2,4,0,1,17,3,15,8,7,4,5,2,3,5,1,2,1,8,23,6,14,11,2,16,4,3,0,1,1,1,0,3,2,0,1,1,4,1,10,1,8,2,3,2,9,1,1,6,1,3,5,1,2,2,0,1,6,4,7,3,3,3,16,6,1,13,6,3,2,5,1,7,1,6,13,0,6,2,4,4,4,3,0,15,5,1,5
"signal4",5,0,0,0,0,2,1,3,3,4,2,6,1,1,0,3,2,8,14,2,3,1,8,1,0,2,7,1,3,1,1,0,6,10,1,8,4,12,4,2,0,0,0,3,0,10,7,7,0,4,1,7,0,4,11,7,3,2,3,1,5,3,10,0,14,0,0,2,2,6,3,11,7,13,6,0,1,1,12,8,3,0,0,3,0,1,0,0,2,6,5,4,2,5,0,3,9,1,9,0
"signal5",4,6,7,3,4,1,12,5,14,12,1,0,3,1,4,5,1,9,3,8,4,0,17,8,0,1,5,0,1,3,4,1,4,1,11,15,6,0,1,4,1,1,1,2,2,0,2,5,4,7,2,2,3,7,7,5,0,0,0,0,0,1,10,1,5,1,0,6,1,9,14,13,2,4,2,17,3,0,6,3,4,7,0,0,7,6,0,5,4,10,5,17,1,4,3,8,6,1,6,7
"signal6",2,0,1,0,1,1,2,2,7,3,0,4,2,4,6,1,2,8,8,1,3,2,3,4,3,1,0,1,4,3,0,6,6,7,2,5,15,9,1,1,5,3,3,6,3,12,3,0,4,2,0,23,3,7,1,4,1,12,2,4,2,5,6,4,8,6,1,1,4,8,0,2,0,7,0,10,1,3,6,25,5,1,1,2,3,2,6,2,5,19,7,8,1,14,0,5,6,12,9,2
"signal7",10,5,1,1,1,0,6,12,0,3,0,6,1,2,1,0,0,10,0,0,1,2,6,3,3,2,8,5,4,0,2,3,0,2,8,1,1,5,0,4,3,9,1,2,3,12,0,2,0,3,4,11,1,7,9,13,5,5,4,0,2,1,20,8,8,1,4,3,1,21,9,5,2,1,13,10,3,3,3,2,2,16,0,2,5,5,0,1,7,2,1,6,0,3,1,3,3,2,8,4
"signal8",0,14,0,2,1,2,7,8,5,10,3,22,1,1,6,0,4,12,1,11,11,2,2,3,0,1,3,0,6,3,0,16,2,11,3,4,4,8,1,0,4,9,1,4,0,3,1,9,3,4,2,7,2,3,6,4,6,6,4,1,8,13,0,7,10,2,1,1,0,19,11,5,2,21,1,2,2,6,11,5,0,1,0,4,18,7,2,0,9,1,6,3,10,9,1,2,3,2,6,2
"signal9",6,4,2,2,3,5,10,0,4,5,3,1,0,4,4,0,1,4,1,10,10,2,8,2,2,3,8,5,5,1,1,7,14,9,1,9,1,4,5,2,3,0,4,4,3,4,1,5,0,7,0,5,1,8,4,11,0,3,0,1,2,6,2,2,19,2,3,2,2,20,9,1,3,3,2,10,1,1,7,4,6,1,2,2,15,7,1,2,3,4,11,1,2,13,5,1,9,6,5,3
"signal10",8,3,1,0,1,0,6,2,6,1,1,5,2,0,4,2,3,13,5,4,0,1,2,16,23,2,1,3,9,6,3,6,8,4,0,9,7,2,0,0,1,8,3,1,3,10,2,3,2,3,0,5,1,1,5,2,4,16,3,0,5,11,1,3,3,1,3,5,3,3,3,3,3,0,14,1,0,1,21,4,1,4,1,1,8,2,0,0,2,2,18,0,0,8,1,2,1,1,5,2
