"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93","Loc94","Loc95","Loc96","Loc97","Loc98","Loc99","Loc100"
"signal1",2,2,1,1,1,1,4,2,3,1,1,6,0,1,2,2,2,11,2,4,7,1,3,0,1,2,9,1,2,3,0,6,2,4,3,2,0,11,2,0,1,4,1,0,1,2,2,4,2,4,1,0,1,1,0,0,4,3,0,1,2,1,4,4,3,0,7,0,2,1,5,0,0,1,1,5,0,3,1,1,0,21,2,2,1,2,11,2,2,3,8,17,2,1,2,5,6,0,2,0
"signal2",2,2,1,0,2,2,2,2,12,5,8,8,3,0,3,6,0,4,3,3,2,0,1,10,15,4,1,0,3,0,0,8,0,6,11,4,3,5,1,3,3,13,2,0,1,1,0,8,4,4,0,1,3,2,1,3,5,2,4,1,4,2,6,4,0,4,1,0,3,0,10,2,2,1,7,0,6,1,2,3,1,2,1,3,3,0,1,3,0,2,19,8,1,6,0,6,9,0,0,1
"signal3",4,2,0,6,0,1,9,2,0,5,1,3,2,2,4,0,1,17,3,15,8,7,1,5,2,3,5,1,1,1,8,23,1,7,6,2,6,1,4,1,2,2,0,1,0,1,0,8,1,1,0,1,1,5,3,1,0,4,2,0,0,3,6,9,1,1,3,0,1,2,1,2,2,1,1,6,2,2,7,0,1,16,6,1,13,2,3,1,5,5,7,1,6,32,1,5,10,3,5,1
"signal4",3,1,3,0,0,3,7,2,0,0,0,1,0,2,0,0,0,4,8,4,14,3,4,2,1,0,2,2,0,0,2,7,1,3,2,3,0,6,3,0,3,4,5,4,2,0,0,0,3,3,3,7,2,3,2,1,3,0,2,4,2,2,2,11,2,4,1,0,0,5,17,6,2,11,7,13,3,0,6,0,4,7,0,0,8,0,1,0,0,2,6,5,0,6,1,0,3,3,2,1
"signal5",0,4,2,7,3,4,2,4,2,5,0,0,3,7,1,2,4,11,3,9,3,2,0,3,8,3,0,1,2,0,0,7,4,1,4,1,11,15,1,0,1,9,1,0,1,2,2,0,2,5,4,3,2,2,3,2,1,2,0,0,0,0,1,10,0,1,1,0,6,1,9,6,6,5,1,2,7,0,6,4,2,4,0,0,1,2,6,0,5,4,10,5,5,3,0,3,8,2,1,3
"signal6",7,2,0,1,0,1,4,1,2,3,1,1,1,2,4,6,1,3,8,8,1,1,2,3,4,1,2,0,1,2,3,0,1,6,7,2,5,15,3,2,0,16,1,6,1,3,1,5,1,3,0,0,0,7,4,4,2,1,3,1,1,5,4,8,1,1,1,1,2,6,3,1,4,8,0,2,0,2,0,3,8,0,8,0,4,2,0,3,1,5,3,5,6,4,1,19,7,3,1,6
"signal7",0,5,2,12,4,2,10,1,3,1,1,1,2,4,3,0,1,2,1,8,2,1,1,2,4,0,1,0,2,3,0,3,2,8,14,8,4,5,1,4,2,1,4,3,3,1,2,8,5,2,0,0,0,13,3,0,5,5,3,4,3,0,4,2,4,1,2,3,1,4,8,1,9,2,1,1,1,4,17,1,3,10,3,0,4,6,0,1,1,13,1,14,2,2,0,6,2,1,1,0
"signal8",0,8,2,4,0,5,10,3,10,2,4,4,5,0,4,1,3,8,2,1,6,0,3,3,3,4,6,4,2,1,3,4,3,5,3,10,9,2,4,0,1,3,3,1,7,0,1,6,4,19,4,5,0,5,2,4,1,3,6,0,2,4,4,3,1,0,6,3,4,1,21,0,1,5,6,11,2,0,1,0,4,18,7,2,3,3,1,1,1,25,11,4,1,5,0,7,10,0,2,2
"signal9",2,8,5,4,0,1,5,3,1,0,4,12,0,0,4,3,0,8,2,2,8,3,5,5,4,1,7,5,3,4,6,0,0,4,15,9,19,4,4,3,1,5,2,0,2,0,1,3,2,4,2,5,1,18,0,2,0,0,8,1,3,2,8,20,4,0,3,1,1,5,6,1,4,4,6,1,2,2,15,7,1,5,0,0,11,0,2,4,0,2,9,17,5,3,2,4,7,0,1,0
"signal10",2,2,2,0,1,2,8,3,5,4,0,9,7,2,1,3,1,7,10,13,10,6,1,9,9,2,4,2,0,1,1,3,0,28,5,10,10,3,0,2,0,14,0,0,1,7,0,5,1,4,1,4,2,3,0,1,0,6,5,2,13,1,3,11,0,0,1,0,0,0,13,1,4,24,2,4,5,4,15,3,1,5,4,4,4,1,2,0,0,4,1,5,1,7,1,4,5,0,1,0
